partido_id,resultado_final_local,resultado_final_visitante,tiros_local,tiros_visitante,tiros_apuerta_local,tiros_apuerta_visitante,posesion_local,posesion_visitante,corners_local,corners_visitante
1038000,1,0,26,14,9,2,44,56,7,3
1037996,2,1,17,15,8,5,51,49,4,3
1037999,2,4,12,13,5,7,42,58,4,5
1038009,0,2,15,11,5,3,43,57,3,4
1038040,2,2,22,7,6,4,64,36,12,2
1038041,1,2,9,8,4,5,49,51,7,2
1038032,2,1,14,13,5,4,37,63,1,4
1038034,2,2,26,3,11,2,75,25,13,1
1038036,1,1,15,6,5,2,39,61,5,3
1038038,2,2,7,22,2,10,19,81,1,11
1038050,2,0,12,13,6,3,57,43,1,7
1038048,1,0,14,18,6,7,57,43,2,5
1038054,1,2,15,13,3,4,52,48,6,3
1038060,0,0,15,8,4,0,59,41,7,3
1038078,1,1,12,10,6,6,58,42,3,5
1038091,3,1,10,15,3,7,45,55,2,4
1038085,2,1,11,8,8,2,49,51,4,4
1038084,0,3,13,14,4,5,39,61,4,4
1038083,1,0,12,15,6,4,39,61,7,6
1038088,1,1,13,13,2,6,60,40,2,6
1038077,1,1,16,6,3,3,68,32,7,0
1038099,2,0,11,12,6,4,71,29,4,4
1038094,2,1,9,9,5,3,76,24,3,2
1038093,4,0,9,11,4,3,50,50,7,2
1038124,1,1,21,12,4,4,48,52,7,6
1038125,0,0,10,8,2,1,40,60,7,5
1038129,0,1,8,9,2,4,40,60,3,3
1038126,3,2,15,12,8,7,42,58,6,0
1037983,1,0,12,8,4,2,50,50,6,5
1038132,0,2,5,12,0,7,38,62,2,3
1038141,1,1,16,7,6,2,53,47,6,4
1038133,3,1,11,8,8,4,45,55,4,3
1038139,2,0,15,15,8,2,56,44,5,6
1038138,2,1,19,14,6,3,40,60,8,7
1038180,0,0,19,8,4,2,59,41,13,2
1038181,0,3,18,6,1,5,70,30,9,1
1038173,1,1,9,11,3,2,55,45,3,5
1038179,1,1,17,10,4,5,55,45,2,8
1038175,1,2,22,10,5,6,67,33,6,0
1038188,0,2,14,14,5,5,53,47,5,3
1038186,1,1,17,12,4,4,50,50,10,9
1038191,0,1,21,9,3,2,68,32,7,4
1038190,4,0,16,5,6,0,53,47,0,2
1038185,2,0,8,7,3,1,73,27,5,0
1038221,1,0,15,10,4,4,55,45,5,5
1038223,1,0,20,9,6,3,63,37,4,1
1038231,1,0,10,15,3,5,51,49,5,5
1038229,2,0,7,8,3,4,40,60,3,1
1038226,2,3,13,11,6,8,36,64,4,6
1038225,2,0,11,7,6,1,60,40,5,7
1038227,1,0,12,9,4,3,33,67,7,5
1038228,0,2,14,7,2,2,71,29,10,3
1038230,4,0,25,11,13,1,63,37,12,1
1038224,2,3,13,6,4,4,54,46,11,4
1038279,0,2,10,6,5,3,61,39,4,2
1038272,1,3,21,8,11,5,56,44,9,2
1038277,3,0,16,4,8,0,37,63,8,3
1038278,3,1,8,7,3,1,42,58,3,5
1038275,1,1,10,9,2,2,59,41,3,1
1038276,3,0,12,11,4,2,37,63,0,6
1038280,3,0,15,20,7,4,46,54,3,6
1038274,1,1,15,10,5,1,51,49,4,6
1038273,4,2,27,5,13,3,80,20,15,1
1038284,0,2,34,7,9,2,64,36,10,6
1038309,1,1,10,10,4,4,52,48,2,4
1038311,5,0,22,18,11,10,72,28,4,1
1038303,0,1,22,11,5,3,66,34,5,1
1038308,0,1,14,19,3,7,57,43,1,9
1038310,2,1,18,10,9,1,31,69,6,6
1038305,2,1,10,7,4,2,53,47,2,3
1038306,0,3,8,7,3,3,45,55,6,3
1038307,2,2,16,6,9,4,57,43,4,8
1038302,0,2,12,16,3,7,35,65,4,7
1038304,1,0,10,7,5,3,59,41,3,3
1037974,3,2,10,10,4,5,53,47,5,3
1037979,1,2,21,8,4,3,51,49,6,6
1037978,3,4,13,21,6,11,39,61,2,6
1037980,1,2,16,7,4,2,65,35,6,3
1037972,4,2,14,9,6,4,47,53,5,3
1037981,1,0,15,16,4,2,47,53,4,5
1038001,2,0,20,9,11,1,52,48,5,3
1038006,5,3,23,15,10,5,56,44,6,5
1038007,0,0,16,15,2,3,44,56,7,4
1038002,2,2,17,7,10,5,61,39,7,3
1038010,4,3,10,10,6,7,61,39,2,1
1038008,1,1,11,13,6,6,41,59,2,8
1038011,1,0,10,2,3,1,58,42,6,7
1038005,1,1,21,5,7,1,63,37,11,8
1038003,3,1,10,20,4,5,36,64,6,11
1038014,5,1,18,10,9,1,47,53,9,4
1038016,2,2,10,10,5,4,30,70,7,2
1038012,2,2,8,13,4,5,48,52,5,4
1038027,0,3,13,14,3,7,52,48,1,4
1038065,2,3,17,17,6,7,58,42,9,3
1038070,0,0,22,4,5,0,63,37,11,1
1038068,1,0,13,6,3,2,45,55,6,3
1038073,4,3,21,13,12,5,58,42,7,2
1038079,1,2,22,19,9,7,46,54,8,3
1038072,1,3,7,18,2,6,47,53,5,5
1038100,2,0,11,2,4,0,71,29,6,0
1038095,1,1,9,17,3,5,28,72,1,8
1038101,0,0,7,7,3,4,63,37,5,4
1038092,0,0,20,6,8,2,62,38,4,6
1038131,3,2,12,15,8,5,48,52,4,7
1038142,0,0,20,5,3,1,46,54,4,3
1038147,1,4,10,9,2,5,57,43,3,1
1038154,1,0,13,9,3,1,48,52,4,4
1038161,0,2,16,10,3,5,43,57,12,0
1038160,1,1,18,8,5,2,51,49,4,6
1038156,1,0,6,6,1,3,39,61,4,2
1038152,0,1,6,6,2,2,48,52,6,3
1038159,3,2,13,10,7,7,42,58,1,4
1038155,3,2,18,10,6,2,74,26,6,3
1038209,1,1,9,6,3,2,72,28,6,7
1038206,1,0,16,4,6,1,64,36,7,2
1038205,3,0,14,7,8,1,55,45,2,2
1038215,1,0,15,3,6,0,67,33,7,0
1038219,3,2,12,13,5,4,39,61,2,5
1038216,1,1,9,16,5,5,53,47,4,9
1038214,3,3,16,14,5,5,27,73,4,4
1038218,2,2,12,10,5,5,29,71,2,2
1038220,5,1,16,9,10,3,49,51,6,4
1038213,2,1,17,12,12,6,43,57,4,6
1038257,0,2,5,10,2,3,63,37,6,2
1038262,1,2,24,11,5,3,57,43,5,2
1038266,2,0,8,15,3,4,31,69,1,11
1038267,3,2,14,15,8,6,47,53,2,8
